MATERIAL,CALMONTH,OSMIT,ORFLG,TOTAL_STOCK,W_DEMAND18,W_DEMAND12,W_OPENQTY
101,202004,ACTIVE,Y,642,"4,614.88","3,076.59",335.58
101,202005,ACTIVE,Y,6,203.77,135.847,17.808
101,202006,ACTIVE,Y,6,"2,131.19","1,420.79",360
101,202007,ACTIVE,Y,6,57.622,38.415,1.552
101,202008,ACTIVE,Y,486,"4,557.07","3,038.05",434.964
101,202009,ACTIVE,Y,6,120.838,80.559,14.727
101,202010,ACTIVE,Y,289,"5,881.16","3,920.78","1,188.56"
101,202011,ACTIVE,Y,505,"5,926.46","3,950.97","1,804.85"
101,202012,ACTIVE,Y,190,"6,176.60","4,117.73","1,674.38"
101,202101,ACTIVE,Y,219,"5,726.21","3,817.47","2,461.52"
101,202102,ACTIVE,Y,3,"1,249.97",833.315,412.941
101,202103,ACTIVE,Y,75,"4,253.42","2,835.61","1,708.99"
101,202104,ACTIVE,Y,2,13.243,8.829,2.954
102,202004,ACTIVE,Y,"6,990.00","59,357.70","39,571.80","15,166.58"
102,202005,ACTIVE,Y,"5,238.00","49,943.24","33,295.49","6,984.72"
102,202006,ACTIVE,Y,"3,325.00","55,276.06","36,850.71","2,121.78"
102,202007,ACTIVE,Y,72,"5,239.92","3,493.28",68.018
102,202008,ACTIVE,Y,636,"62,603.50","41,735.67","3,777.53"
102,202009,ACTIVE,Y,"4,230.00","72,328.73","48,219.15","2,925.31"
102,202010,ACTIVE,Y,768,"12,037.04","8,024.69",773.701
102,202011,ACTIVE,Y,"3,804.00","70,620.18","47,080.12","3,783.65"
102,202012,ACTIVE,Y,60,"74,232.48","49,488.32","3,234.49"
102,202102,ACTIVE,Y,4,"76,308.01","50,872.01","16,985.00"
102,202103,ACTIVE,Y,566,"21,259.98","14,173.32","2,191.80"
102,202104,ACTIVE,Y,"12,223.00","49,780.14","33,186.76","5,025.88"
103,202004,ACTIVE,Y,"4,292.00","20,460.16","13,640.11",394.24
103,202005,ACTIVE,Y,"5,986.00","23,988.39","15,992.26",267.273
103,202006,ACTIVE,Y,"6,643.00","18,488.73","12,325.82",335.468
103,202007,ACTIVE,Y,"5,035.00","12,219.89","8,146.59",211.656
103,202008,ACTIVE,Y,"3,763.00","13,164.73","8,776.48",353.996
103,202009,ACTIVE,Y,"3,091.00","12,814.87","8,543.25",142.246
103,202010,ACTIVE,Y,"3,307.00","16,583.24","11,055.50",196.469
103,202011,ACTIVE,Y,"1,923.00","13,052.06","8,701.38",294.132
103,202012,ACTIVE,Y,145,"2,032.07","1,354.72",33.903
103,202101,ACTIVE,Y,"4,201.00","25,838.39","17,225.59",973.755
103,202102,ACTIVE,Y,"2,272.00","19,157.79","12,771.86",337.66
103,202103,ACTIVE,Y,"1,102.00","12,107.01","8,071.34",296.544
103,202104,ACTIVE,Y,"2,550.00","15,959.51","10,639.67",241.897
108,202004,ACTIVE,Y,271,"11,486.55","7,657.70","7,068.00"
108,202005,ACTIVE,Y,45,753.051,502.034,337.597
108,202006,ACTIVE,Y,"1,774.00","22,778.83","15,185.89","2,237.32"
108,202007,ACTIVE,Y,"12,334.00","94,920.08","63,280.06","2,057.60"
108,202008,ACTIVE,Y,"9,734.00","76,874.70","51,249.80",409.256
108,202009,ACTIVE,Y,"4,434.00","82,845.21","55,230.14","8,590.07"
108,202010,ACTIVE,Y,"4,924.00","36,256.90","24,171.27","3,773.45"
108,202011,ACTIVE,Y,"6,144.00","82,048.17","54,698.78","5,304.96"
108,202012,ACTIVE,Y,"3,194.00","21,527.24","14,351.49","2,320.36"
108,202101,ACTIVE,Y,"4,724.00","29,200.72","19,467.15","5,238.81"
108,202102,ACTIVE,Y,"6,253.00","71,901.16","47,934.11","7,147.59"
108,202103,ACTIVE,Y,223,"5,361.12","3,574.08","1,229.31"
108,202104,ACTIVE,Y,"2,062.00","29,460.04","19,640.03","6,766.35"
300,202004,ACTIVE,Y,70,"1,307.90",871.936,49.125
300,202005,ACTIVE,Y,25,901.044,600.696,59.535
300,202006,ACTIVE,Y,76,"1,655.69","1,103.80",52.157
300,202007,ACTIVE,Y,10,"1,088.73",725.819,27.576
300,202008,ACTIVE,Y,51,"3,154.73","2,103.15",204.981
300,202010,ACTIVE,Y,79,"1,930.13","1,286.75",27.568
300,202011,ACTIVE,Y,245,"2,857.02","1,904.68",15.14
300,202012,ACTIVE,Y,66,"1,699.47","1,132.98",11.064
301,202004,ACTIVE,Y,63,597.922,398.615,16.588
301,202005,ACTIVE,Y,160,"1,244.81",829.872,50.85
301,202006,ACTIVE,Y,112,903.698,602.465,5.714
301,202007,ACTIVE,Y,81,639.691,426.461,3.975
301,202008,ACTIVE,Y,46,461.953,307.969,15.824
301,202010,ACTIVE,Y,29,370.911,247.274,9.765
301,202011,ACTIVE,Y,31,511.317,340.878,10.485
303,202004,ACTIVE,Y,542,"5,742.66","3,828.44",24.678
303,202005,ACTIVE,Y,298,"5,415.58","3,610.39",37.848
303,202006,ACTIVE,Y,482,"4,466.78","2,977.85",104.275
303,202007,ACTIVE,Y,320,"4,815.42","3,210.28",520.93
303,202008,ACTIVE,Y,340,"5,587.31","3,724.87",121.196
303,202009,ACTIVE,Y,5,173.305,115.537,7.755
303,202010,ACTIVE,Y,116,"3,188.39","2,125.60",63
303,202011,ACTIVE,Y,250,"5,225.80","3,483.87",32.787
303,202012,ACTIVE,Y,102,"3,293.94","2,195.96",65.123
303,202101,ACTIVE,Y,290,"7,352.42","4,901.62",350.643
303,202102,ACTIVE,Y,2,308.786,205.857,15.906
303,202103,ACTIVE,Y,4,"6,665.26","4,443.51","1,675.00"
303,202104,ACTIVE,Y,11,"8,063.61","5,375.74","2,073.00"
304,202004,ACTIVE,N,448,"4,955.67","3,303.78",12.87
304,202005,ACTIVE,Y,399,"4,899.27","3,266.18",80.528
304,202006,ACTIVE,Y,365,"4,169.42","2,779.61",113.573
304,202007,ACTIVE,Y,204,"3,589.88","2,393.26",69.581
304,202008,ACTIVE,Y,6,134.673,89.782,4.131
304,202009,ACTIVE,Y,326,"2,079.97","1,386.65",49.664
304,202010,ACTIVE,Y,79,"1,946.86","1,297.91",54.216
304,202011,ACTIVE,Y,226,"2,854.65","1,903.10",5.567
304,202012,ACTIVE,Y,4,180.029,120.019,2.7
304,202101,ACTIVE,Y,4,396.692,264.461,8.083
304,202102,ACTIVE,Y,5,"3,886.29","2,590.86",412.143
304,202103,ACTIVE,Y,1,"4,366.17","2,910.78",849
304,202104,ACTIVE,Y,35,"5,898.72","3,932.48",957
305,202004,ACTIVE,N,52,660.024,440.016,13.528
305,202005,ACTIVE,Y,29,"1,164.74",776.495,6.259
305,202006,ACTIVE,Y,171,"1,637.48","1,091.65",11.51
305,202007,ACTIVE,Y,60,"1,083.95",722.63,32.121
305,202008,ACTIVE,Y,31,"1,799.29","1,199.53",52.7
305,202009,ACTIVE,Y,20,509.592,339.728,31.579
305,202010,ACTIVE,Y,57,"1,307.55",871.701,12.391
305,202011,ACTIVE,Y,72,"1,184.25",789.499,6.803
305,202012,ACTIVE,Y,20,675.131,450.087,1.039
305,202101,ACTIVE,Y,51,"1,097.82",731.879,7.605
305,202102,ACTIVE,Y,2,83.56,55.707,2.643
305,202103,ACTIVE,Y,21,"1,541.17","1,027.45",70
307,202004,ACTIVE,N,67,976.536,651.024,12.276
307,202005,ACTIVE,Y,76,"1,624.98","1,083.32",3.195
307,202006,ACTIVE,Y,169,"1,829.65","1,219.77",8.647
307,202007,ACTIVE,Y,159,"1,076.34",717.56,7.492
307,202008,ACTIVE,Y,71,976.381,650.921,18.085
307,202009,ACTIVE,Y,33,463.965,309.31,4.569
307,202010,ACTIVE,Y,50,391.697,261.131,0.685
307,202011,ACTIVE,Y,20,533.644,355.763,37.576
307,202012,ACTIVE,Y,44,498.666,332.444,10.389
307,202101,ACTIVE,Y,89,"1,191.23",794.152,65.038
307,202102,ACTIVE,Y,8,590.317,393.545,8
307,202103,ACTIVE,Y,25,835.884,557.256,42.347
307,202104,ACTIVE,Y,6,968.696,645.797,157
308,202004,ACTIVE,N,17,260.19,173.46,6.549
